id_student,SumOfsum_click,final_result
100893,206,Pass
101781,1505,Pass
102806,590,Pass
102952,444,Pass
1035023,459,Pass
104476,1318,Pass
106247,268,Withdrawn
106577,319,Pass
110175,262,Pass
1105478,666,Pass
111717,707,Pass
113295,1102,Pass
11391,427,Pass
114017,343,Pass
114999,421,Pass
116541,526,Pass
116692,542,Pass
118983,71,Pass
123044,703,Pass
127582,397,Pass
129955,806,Withdrawn
132976,157,Pass
134143,761,Distinction
1352868,380,Pass
1352868,380,Withdrawn
135335,114,Withdrawn
135400,217,Pass
135400,217,Withdrawn
137873,1208,Pass
1401935,175,Fail
1402638,446,Pass
141355,574,Pass
141377,7,Pass
141377,7,Withdrawn
1414443,795,Fail
142326,467,Pass
144801,1231,Pass
145130,221,Pass
1456619,934,Withdrawn
146188,132,Fail
1465690,799,Pass
1472925,238,Fail
1472925,238,Pass
147756,396,Fail
147756,396,Pass
147793,110,Withdrawn
1488959,1088,Pass
148993,855,Pass
148993,855,Withdrawn
151358,37,Pass
1518989,1179,Pass
155550,475,Pass
155854,1124,Pass
155984,548,Pass
155984,548,Withdrawn
157568,384,Pass
159954,1152,Withdrawn
1618738,275,Pass
1620151,667,Fail
1626710,1915,Distinction
1640609,1526,Pass
164259,85,Pass
167906,452,Pass
1686521,643,Withdrawn
168936,275,Pass
172112,316,Pass
172797,261,Pass
1729319,683,Pass
1746134,379,Pass
174782,1689,Pass
175392,1534,Pass
1758449,1517,Withdrawn
175932,719,Pass
175991,97,Fail
1763015,420,Withdrawn
1765788,2276,Pass
1801229,484,Pass
1801641,207,Pass
180753,667,Pass
181316,439,Withdrawn
183096,791,Pass
183947,261,Pass
184271,450,Pass
1847830,1172,Pass
185439,305,Fail
1860318,811,Pass
186149,880,Pass
187100,2827,Distinction
188278,1004,Pass
188278,1004,Withdrawn
1889511,473,Pass
1889577,324,Pass
1894188,845,Pass
189879,481,Pass
192183,743,Pass
1938355,789,Pass
1942396,266,Pass
195262,171,Withdrawn
1970390,3214,Pass
1970390,3214,Withdrawn
1976139,246,Pass
200860,257,Pass
2011876,329,Pass
2012966,348,Pass
202635,850,Withdrawn
2051699,704,Pass
205350,695,Pass
205719,236,Fail
2062879,650,Fail
2065691,30,Withdrawn
2073016,549,Fail
2073016,549,Withdrawn
2080474,328,Pass
2083877,398,Pass
2084066,1046,Fail
2104505,368,Pass
2122180,1069,Distinction
2139353,350,Pass
2139353,350,Withdrawn
2143752,648,Pass
2146792,591,Pass
2149225,319,Withdrawn
2153153,941,Pass
2155014,662,Pass
2164705,186,Fail
2171627,356,Pass
2182846,1133,Pass
2194100,542,Pass
2197016,484,Pass
2208424,457,Pass
2229865,886,Pass
2255601,1081,Withdrawn
2268379,522,Pass
227499,1061,Distinction
227517,628,Fail
2278464,195,Pass
228082,81,Pass
228222,69,Pass
229179,233,Pass
229361,223,Pass
2293923,203,Pass
2312620,282,Withdrawn
231554,526,Pass
2329342,242,Pass
2339528,234,Distinction
2342426,599,Fail
2344901,154,Fail
235507,179,Pass
235507,179,Withdrawn
2358056,415,Fail
2358969,312,Pass
2358969,312,Withdrawn
236284,159,Pass
2364471,2225,Pass
2367155,396,Pass
2369266,837,Pass
2376496,335,Pass
238007,544,Pass
2391984,330,Withdrawn
240712,66,Pass
240884,162,Pass
2411661,326,Fail
2411778,1279,Withdrawn
2412002,1471,Distinction
2412967,576,Pass
241649,724,Pass
241729,345,Fail
242793,226,Pass
2429854,519,Fail
2429854,519,Withdrawn
2437837,779,Pass
2449878,119,Pass
2456480,95,Fail
2457256,604,Pass
2458355,870,Pass
2460080,921,Pass
2461190,537,Fail
246834,440,Pass
2469673,103,Fail
2470694,833,Fail
2470694,833,Withdrawn
2479954,115,Pass
2481901,1085,Pass
248270,836,Pass
2482700,598,Pass
2486127,400,Pass
2498700,386,Pass
2516503,516,Pass
2518069,520,Pass
2521459,285,Pass
2523736,190,Pass
2529279,636,Pass
2532302,182,Pass
2536991,239,Distinction
2542724,228,Withdrawn
2550279,841,Pass
2551220,292,Pass
2552472,430,Withdrawn
2555340,1527,Pass
255548,1188,Pass
2557283,1825,Pass
2559575,334,Pass
2562034,105,Pass
2566163,397,Pass
2566592,330,Pass
256815,261,Pass
2569324,25,Pass
2569324,25,Withdrawn
2574528,255,Pass
2574583,599,Pass
2576122,249,Fail
2576122,249,Withdrawn
2578995,406,Pass
258392,249,Pass
2586560,1122,Pass
258894,879,Pass
